candidate_id,split,period,trade_count,net,pf,dd_pct,calendar_trades_day,positive_period,active_period
f80b_20020,validation,2025-03,153,16.02717422655602,1.1628303111143155,4.470966851267076,5.464285714285714,1,1
f80b_20020,validation,2025-04,103,46.663055220307704,1.879926396788223,1.3377416689902248,3.5517241379310347,1,1
f80b_20020,validation,2025-05,44,-9.562901320765697,0.7149656266525649,2.8529026574751812,1.5172413793103448,0,1
f80b_20020,validation,2025-06,17,2.0935479700377595,1.1934426229508197,1.0822578489178227,0.6071428571428571,1,1
f80b_20020,validation,2025-07,25,2.217741493684068,1.1366120218579232,0.9296772341523593,0.8333333333333334,1,1
f80b_20020,validation,2025-08,37,6.7951599366479805,1.2989851678376272,1.7067738535392663,1.3214285714285714,1,1
f80b_20020,validation,2025-09,21,-2.2354834256335385,0.8524590163934426,2.011935083070193,0.75,0,1
f80b_20020,oos,2025-10,83,15.592496893793939,1.3067378671273753,1.8983867185935537,2.7666666666666666,1,1
f80b_20020,oos,2025-11,160,49.32257081953365,1.5425448868071827,1.2099997589540294,6.956521739130435,1,1
f80b_20020,oos,2025-12,70,12.916126459215992,1.3063973063973062,1.029032053069409,2.3333333333333335,1,1
f80b_20020,oos,2026-01,74,2.8919349077640177,1.0597945707997065,1.8841931730339865,2.642857142857143,1,1
f80b_20020,oos,2026-02,138,45.348378062851786,1.5955265610438016,1.5364513068243242,5.52,1,1
f80b_20020,oos,2026-03,110,15.612900115535812,1.2298850574712639,2.6293543149118253,3.793103448275862,1,1
f80b_20020,oos,2026-04,9,-0.4790321626357592,0.9224137931034481,0.4116128212277658,0.75,0,1
f80b_11443,validation,2025-01,40,9.403223933220445,1.3949329359165428,0.8658062791342673,1.3793103448275863,1,1
f80b_11443,validation,2025-02,50,-1.4193545559578005,0.9590163934426229,2.292257607871852,2.0,0,1
f80b_11443,validation,2025-03,64,15.630642047485305,1.412646370023419,1.3625803737194702,2.2857142857142856,1,1
f80b_11443,validation,2025-04,320,63.8620840521264,1.3279353148844102,3.1701284007317554,11.03448275862069,1,1
f80b_11443,validation,2025-05,10,0.8870965974736267,1.1366120218579236,1.0822578489178227,0.3448275862068966,1,1
f80b_11443,validation,2025-06,11,2.73225752021877,1.4207650273224046,0.8658062791342673,0.39285714285714285,1,1
f80b_11443,validation,2025-07,10,-7.895159717515278,0.1894353369763206,1.7316125582685118,0.3333333333333333,0,1
f80b_11443,validation,2025-08,22,-3.3177412745513637,0.7956284153005463,1.0822578489178227,0.7857142857142857,0,1
f80b_11443,validation,2025-09,23,-4.39999912346919,0.7459016393442625,2.508709177655419,0.8214285714285714,0,1
f80b_11443,oos,2025-10,82,16.69693215764861,1.3355379267314373,1.5151609884849448,2.7333333333333334,1,1
f80b_11443,oos,2025-11,167,27.109672018794047,1.2609289617486334,3.3248380473311503,7.260869565217392,1,1
f80b_11443,oos,2025-12,22,3.7612895732881757,1.281914893617021,0.8232256424555316,0.7333333333333333,1,1
f80b_11443,oos,2026-01,32,-3.6548379815913443,0.8385579937304072,1.664193216860531,1.1428571428571428,0,1
f80b_11443,oos,2026-02,115,42.669346338481425,1.6910919540229872,1.5683867843333703,4.6,1,1
f80b_11443,oos,2026-03,145,23.508059833051096,1.265637530072173,2.4554833818069937,5.0,1,1
f80b_11443,oos,2026-04,55,10.733868829430875,1.3259698275862073,1.7741931949472587,4.583333333333333,1,1
f80b_15043,validation,2025-01,40,9.403223933220445,1.3949329359165428,0.8658062791342673,1.3793103448275863,1,1
f80b_15043,validation,2025-02,50,-1.4193545559578005,0.9590163934426229,2.292257607871852,2.0,0,1
f80b_15043,validation,2025-03,64,15.630642047485305,1.412646370023419,1.3625803737194702,2.2857142857142856,1,1
f80b_15043,validation,2025-04,320,63.8620840521264,1.3279353148844102,3.1701284007317554,11.03448275862069,1,1
f80b_15043,validation,2025-05,10,0.8870965974736267,1.1366120218579236,1.0822578489178227,0.3448275862068966,1,1
f80b_15043,validation,2025-06,11,2.73225752021877,1.4207650273224046,0.8658062791342673,0.39285714285714285,1,1
f80b_15043,validation,2025-07,10,-7.895159717515278,0.1894353369763206,1.7316125582685118,0.3333333333333333,0,1
f80b_15043,validation,2025-08,22,-3.3177412745513637,0.7956284153005463,1.0822578489178227,0.7857142857142857,0,1
f80b_15043,validation,2025-09,23,-4.39999912346919,0.7459016393442625,2.508709177655419,0.8214285714285714,0,1
